Point ID,vel_0,vel_1
9816,6.64557e-05,6.64557e-05
9817,3.80348e-05,3.80348e-05
9818,5.98226e-05,5.98226e-05
9819,5.21587e-05,5.21587e-05
9820,8.24893e-05,8.24893e-05
9821,4.68857e-05,4.68857e-05
9822,7.40026e-05,7.40026e-05
9823,6.44854e-05,6.44854e-05
9824,0.000102439,0.000102439
9825,5.80172e-05,5.80172e-05
9826,9.19515e-05,9.19515e-05
9827,7.93895e-05,7.93895e-05
9828,0.000126759,0.000126759
9829,7.15955e-05,7.15955e-05
9830,0.000114014,0.000114014
9831,9.72509e-05,9.72509e-05
9832,0.000156178,0.000156178
9833,8.79196e-05,8.79196e-05
9834,0.000140773,0.000140773
9835,0.000118642,0.000118642
9836,0.000191768,0.000191768
9837,0.000107461,0.000107461
9838,0.000173118,0.000173118
9839,0.000144379,0.000144379
9840,0.000235048,0.000235048
9841,0.000130906,0.000130906
9842,0.000212331,0.000212331
9843,0.000175584,0.000175584
9844,0.000288108,0.000288108
